employer name,job title,job link,job_description,employment type,job_location,is_job_remote,required skills,experienceeducation,min_salary,max_salary,responsiblities
Upwork,Mobile Developer,https://www.upwork.com/freelance-jobs/apply/Mobile-Developer_~0136f2c0350f617cc1/,"As Needed on an ongoing basis, we are looking for a Mobile Developer

Responsibilities

•Define the strategy for source control, build, release and deployment processes for enterprise mobile applications.

• Refine build tools to rapidly deliver high-quality software

• Create, maintain, and enhance build infrastructure including Continuous Integration, automated builds, and automated build verification testing.

• Establish a Test-Driven Development culture, including creation of a suite of automated tests used in conjunction with automate build verification testing.

• Provide software configuration management, including source control as well as analysis, performance tuning, and resolution of config & deploy issues in dev, test, and production environments.

• Collaborate with Agile teams to design new deployment models and maintain release and continuous integration processes and frameworks.

• Deploy applications and application updates to app stores

• Collaborate with customers to provide deployments/updates to customer MDM environments

• Write and maintain process and procedure wikis

• Train and support Agile teams to use the defined source control, build, release and deployment processes.

• Educate Agile teams on TDD/CI/CD/Zero Downtime Deployments

Skills & Qualifications

• At least 5 years of experience in dev ops automation

• Degree (or equivalent) in Computer Science or related discipline

• Knowledge of web development best practices and experience working within an Agile environment

• Extensive knowledge of Git and branch management strategies within Git (e.g. git-flow)

• Experience with continuous integration system, e.g. Jenkins, Appflow

• Experience with modern build tools

• Experience with automated build verification / automated unit testing / automated integration testing

• Experience with Ionic framework

• Experience with build issues with native mobile plugins

• Highly motivated to lead within a collaborative environment

• Extensive experience merging branches, resolving code conflicts and troubleshooting build issues for Ionic / Capacitor / HTML 5 mobile applications

• Experience with approval and deployment of mobile applications on iTunes and Google Play stores and store requirements

• Understanding of Apple and Android certificate and profile management as well",CONTRACTOR,US,True,"['Smartphone', 'Tablet', 'Java', 'Mobile App Development', 'Android', 'iOS', 'JavaScript', 'Android App Development']",False,False,USD  50 ,USD 75,"{'Qualifications': ['At least 5 years of experience in dev ops automation', 'Degree (or equivalent) in Computer Science or related discipline', 'Knowledge of web development best practices and experience working within an Agile environment', 'Extensive knowledge of Git and branch management strategies within Git (e.g. git-flow)', 'Experience with continuous integration system, e.g', 'Jenkins, Appflow', 'Experience with modern build tools', 'Experience with automated build verification / automated unit testing / automated integration testing', 'Experience with Ionic framework', 'Experience with build issues with native mobile plugins', 'Highly motivated to lead within a collaborative environment', 'Extensive experience merging branches, resolving code conflicts and troubleshooting build issues for Ionic / Capacitor / HTML 5 mobile applications', 'Experience with approval and deployment of mobile applications on iTunes and Google Play stores and store requirements', 'Understanding of Apple and Android certificate and profile management as well'], 'Responsibilities': ['Define the strategy for source control, build, release and deployment processes for enterprise mobile applications', 'Refine build tools to rapidly deliver high-quality software', 'Create, maintain, and enhance build infrastructure including Continuous Integration, automated builds, and automated build verification testing', 'Establish a Test-Driven Development culture, including creation of a suite of automated tests used in conjunction with automate build verification testing', 'Provide software configuration management, including source control as well as analysis, performance tuning, and resolution of config & deploy issues in dev, test, and production environments', 'Collaborate with Agile teams to design new deployment models and maintain release and continuous integration processes and frameworks', 'Deploy applications and application updates to app stores', 'Collaborate with customers to provide deployments/updates to customer MDM environments', 'Write and maintain process and procedure wikis', 'Train and support Agile teams to use the defined source control, build, release and deployment processes', 'Educate Agile teams on TDD/CI/CD/Zero Downtime Deployments']}"
Dice,Mobile App Developer,https://www.linkedin.com/jobs/view/mobile-app-developer-at-dice-3816265159,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Spruce Technology Inc., is seeking the following. Apply via Dice today!

Title: Mobile App Developer

Location: East Elmhurst, NY 11370

Duration: 30+ months

DESCRIPTION: The AppDev is now starting a new initiative to design and build mobile apps to help optimize business processes and enable increased efficiency especially for the agency's field workforce. As part of that initiative, the AppDev group is looking to bring on board a mobile app developer with experience in hybrid application development using ReactNative.

Skills

MANDATORY SKILLS/EXPERIENCE
• Demonstrated expertise building cross-platform native mobile apps
• Strong proficiency in JavaScript including DOM, the JavaScript Object Model and other relevant concepts.
• Thorough understanding of ReacReact Native and its core principles.
• Expertise on building encapsulated and reusable components.
• Preceding experience with ReacReact Native workflows like Redux, Flux, Create React App.
• Demonstrated expertise building modern Uls and applications using React and its available libraries.
• Proficiency in developing Responsive, PWA and Adaptive Design sites that can work on any form factor.
• Knowledge of modern authentication protocols and mechanisms such as JWT, OAuth2, etc.
• Knowledge of modern version control systems (GitHub, preferably) and automated build workflows/pipelines for web applications
• Familiarity with REST Services/AP!
• Experience in database design and development using D82, Microsoft SQL Server, Oracle, and any other RDBMS
• Strong knowledge of SQL/f-SQL/PL-SQL, Query Optimization, and Data management skills

DESIRABLE SKILLS/EXPERIENCE:
• Experience with message-driven architectures such as pub-sub
• Experience with Java and/or Spring/Spring Boot frameworks
• Experience with implementing and using GraphQL
• Experience with Test Driven Development using Junit & Jest
• Exposure to Distributed Caching technologies like Redis
• Exposure to Containerization preferably Docker & Kubernetes
• Thrive in a fast-paced environment founded on strong analytical and communication skills.

Spruce Technology, Inc. is a mid-size, award-winning (Inc 5000, SmartCEO, Entrepreneur of the Year) technology services firm with a steadily growing portfolio of commercial and government clients. Spruce provides innovative technology solutions, specialized IT staff, and IT strategy consulting nationwide. Spruce maintains partnerships with major technology vendors and continually develops leading-edge offerings in service areas such as digital experience, data services, application development, infrastructure, cyber security, and IT staffing.

Spruce Technology, Inc. is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information. Consistent with the Americans with Disabilities Act, it is the policy of Spruce Technology, Inc. to provide reasonable accommodation when requested by a qualified applicant or employee with a disability, unless such accommodation would cause an undue hardship. The policy regarding requests for reasonable accommodation applies to all aspects of employment, including the application process.",FULLTIME,US,True,,False,False,None  None ,None None,"{'Qualifications': ['Demonstrated expertise building cross-platform native mobile apps', 'Strong proficiency in JavaScript including DOM, the JavaScript Object Model and other relevant concepts', 'Thorough understanding of ReacReact Native and its core principles', 'Expertise on building encapsulated and reusable components', 'Preceding experience with ReacReact Native workflows like Redux, Flux, Create React App', 'Demonstrated expertise building modern Uls and applications using React and its available libraries', 'Proficiency in developing Responsive, PWA and Adaptive Design sites that can work on any form factor', 'Knowledge of modern authentication protocols and mechanisms such as JWT, OAuth2, etc', 'Knowledge of modern version control systems (GitHub, preferably) and automated build workflows/pipelines for web applications', 'Familiarity with REST Services/AP!', 'Experience in database design and development using D82, Microsoft SQL Server, Oracle, and any other RDBMS', 'Strong knowledge of SQL/f-SQL/PL-SQL, Query Optimization, and Data management skills', 'Experience with message-driven architectures such as pub-sub', 'Experience with Java and/or Spring/Spring Boot frameworks', 'Experience with implementing and using GraphQL', 'Experience with Test Driven Development using Junit & Jest', 'Exposure to Distributed Caching technologies like Redis', 'Exposure to Containerization preferably Docker & Kubernetes', 'Thrive in a fast-paced environment founded on strong analytical and communication skills']}"
VirtualVocations,Mobile developer,https://www.talent.com/view?id=cd8d1dff990f,Last updated : 2024-01-27,FULLTIME,US,False,,False,False,None  None ,None None,{}
Upwork,iOS Developer for Mobile App Development.,https://www.upwork.com/freelance-jobs/apply/iOS-Developer-for-Mobile-App-Development_~0142d1c73589140ea6/,"Job Description

We are looking for a skilled iOS Developer to lead and design a mobile application project focused on video and image processing, content management, and user interaction. Your role involves developing, optimizing, and bringing the the app to fruition. High fidelity Wireframes and documented requirements will be provided.

Responsibilities

Design and develop iOS application using Swift and Xcode.

Implement UI designs while ensuring cross-device compatibility.

Integrate with back-end services for data storage and retrieval.

Develop video and image editing tools and content management functionalities.

Uphold app security standards and ensure compliance with data privacy regulations.

Collaborate remotely with the project team to define and deliver new features.

Identify and fix performance bottlenecks, bugs, and improve app responsiveness.

Keep up-to-date with the latest trends and technologies in iOS development.

Qualifications

Proven experience as an iOS Developer with a portfolio of released applications.

Proficiency in Swift, Xcode, and familiarity with iOS frameworks like AVFoundation.

Experience with RESTful API integration and cloud storage solutions (AWS preferred).

Good understanding of iOS interface guidelines and design principles.

Ability to troubleshoot and optimize app performance.

Experience with code versioning tools (e.g., Git).",CONTRACTOR,US,True,"['iOS', 'Swift', 'iOS Development']",True,False,None  None ,None None,"{'Qualifications': ['Proven experience as an iOS Developer with a portfolio of released applications', 'Proficiency in Swift, Xcode, and familiarity with iOS frameworks like AVFoundation', 'Good understanding of iOS interface guidelines and design principles', 'Ability to troubleshoot and optimize app performance', 'Experience with code versioning tools (e.g., Git)'], 'Responsibilities': ['Your role involves developing, optimizing, and bringing the the app to fruition', 'High fidelity Wireframes and documented requirements will be provided', 'Design and develop iOS application using Swift and Xcode', 'Implement UI designs while ensuring cross-device compatibility', 'Integrate with back-end services for data storage and retrieval', 'Develop video and image editing tools and content management functionalities', 'Uphold app security standards and ensure compliance with data privacy regulations', 'Collaborate remotely with the project team to define and deliver new features', 'Identify and fix performance bottlenecks, bugs, and improve app responsiveness', 'Keep up-to-date with the latest trends and technologies in iOS development']}"
Leidos,Mobile Application Developer,https://careers.leidos.com/jobs/13745235-mobile-application-developer,"Description

Leidos is supporting the Academy Learning Branch group, on-site in Oklahoma City, in the form of comprehensive web and mobile development, system and database administration, eLearning content development and integration, system information security, and user support services.

Must be eligible to work in the U.S. and pass FAA security screening for positions of public trust. Public Trust requires US Citizenship.

Primary Responsibilities
• Design, develop, and maintain mobile applications.
• Write code and develop mobile applications using Kotlin, Swift, SwiftUI, UIKit, and Jetpack Compose.
• Create visually appealing and user-friendly interfaces for mobile apps, ensuring a positive user experience.
• Ensure the application's design and functionality are adapted to work seamlessly on different mobile devices and screen sizes.
• Conduct testing and debugging to identify and resolve issues, ensuring the app is stable and free from bugs.
• Optimize mobile app performance to enhance speed, responsiveness, and resource usage.
• Implement security measures to protect sensitive user data and prevent vulnerabilities.
• Integrate with web services and third-party APIs to access external functionalities and data.
• Provide support in using cross-platform frameworks like React Native or Flutter to develop apps that work on multiple platforms with a shared codebase.
• Write native code to access specific platform features or achieve higher performance for critical components.
• Utilize a version control system (Git) to manage code changes and collaborate with other developers.
• Implement automated CI/CD pipelines to facilitate app updates and deployments.
• Ensure the mobile app design and navigation provide an intuitive and engaging user experience.
• Integrate analytics tools to track app usage, user behavior, and performance metrics for data-driven decision-making.
• Maintain clear and comprehensive documentation of code and app-related information.
• Keep the app up to date with the latest trends, best practices, and new technologies in mobile app development.
• Work closely with product managers, designers, and other developers in an Agile development environment.
• Prepare and submit mobile apps to app stores (Google Play Store, Apple App Store) for distribution.
• Collaborate with the Distance Learning Branch team for technical advice on how to proceed to maximize efficiency in application development and deployment timing consistency.
• Collaborate with the Distance Learning Branch team for technical advice on how to proceed to maximize efficiency in application development and deployment timing consistency.

Basic Qualifications
• Bachelor’s degree with a minimum of 4 years of work experience or additional work experience in lieu of education
• Demonstrated history of web application development.

Preferred Qualifications
• Master’s degree with at least 6 years of experience

Pay Range:
Pay Range $81,250.00 - $146,875.00

The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.

#Featuredjob

Original Posting Date:
12/21/2023

While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.",FULLTIME,US,False,,False,True,None  None ,None None,"{'Qualifications': ['Must be eligible to work in the U.S. and pass FAA security screening for positions of public trust', 'Public Trust requires US Citizenship', 'Bachelor’s degree with a minimum of 4 years of work experience or additional work experience in lieu of education', 'Demonstrated history of web application development'], 'Responsibilities': ['Design, develop, and maintain mobile applications', 'Write code and develop mobile applications using Kotlin, Swift, SwiftUI, UIKit, and Jetpack Compose', 'Create visually appealing and user-friendly interfaces for mobile apps, ensuring a positive user experience', ""Ensure the application's design and functionality are adapted to work seamlessly on different mobile devices and screen sizes"", 'Conduct testing and debugging to identify and resolve issues, ensuring the app is stable and free from bugs', 'Optimize mobile app performance to enhance speed, responsiveness, and resource usage', 'Implement security measures to protect sensitive user data and prevent vulnerabilities', 'Integrate with web services and third-party APIs to access external functionalities and data', 'Provide support in using cross-platform frameworks like React Native or Flutter to develop apps that work on multiple platforms with a shared codebase', 'Write native code to access specific platform features or achieve higher performance for critical components', 'Utilize a version control system (Git) to manage code changes and collaborate with other developers', 'Implement automated CI/CD pipelines to facilitate app updates and deployments', 'Ensure the mobile app design and navigation provide an intuitive and engaging user experience', 'Integrate analytics tools to track app usage, user behavior, and performance metrics for data-driven decision-making', 'Maintain clear and comprehensive documentation of code and app-related information', 'Keep the app up to date with the latest trends, best practices, and new technologies in mobile app development', 'Work closely with product managers, designers, and other developers in an Agile development environment', 'Prepare and submit mobile apps to app stores (Google Play Store, Apple App Store) for distribution', 'Collaborate with the Distance Learning Branch team for technical advice on how to proceed to maximize efficiency in application development and deployment timing consistency'], 'Benefits': ['Pay Range $81,250.00 - $146,875.00', 'The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary']}"
VirtualVocations,Mobile app developer,https://www.talent.com/view?id=0d011303f3cc,Last updated : 2024-01-27,FULLTIME,US,False,,False,False,None  None ,None None,{}
ACE IoT Solutions LLC,React Native Mobile Developer,https://www.linkedin.com/jobs/view/react-native-mobile-developer-at-ace-iot-solutions-llc-3810501249,"Company Description

ACE IoT Solutions LLC offers a secure, cost-effective managed platform for collecting, aggregating, and visualizing your facilities' operations and energy data in the cloud. Our open platform and technology allow easy integration into existing business critical data systems, allowing for rapid deployment of converged systems. We aim to provide innovative IoT solutions that help our customers unlock countless applications and improve their operational efficiency.

Role Description

This is a part-time remote internship role for a React Native Mobile Developer. As a developer, you will work on developing and maintaining our mobile application using React Native. You will work with our team to understand the product requirements, implement new features, and troubleshoot issues as they arise. In addition, you will be responsible for unit testing and code review to ensure the quality of the product.

Qualifications
• Experience in React Native development
• Proficiency in TypeScript, HTML, and CSS
• Familiarity with Git and Node.js
• Experience in RESTful APIs and JSON
• Knowledge of mobile app development best practices
• Strong problem-solving and analytical skills
• Ability to work in a team environment and follow development best practices
• Currently pursuing or recently graduated with a Bootcamp, Bachelor's or Master's degree in computer science, software engineering, or a related field
• Experience with mobile application development on iOS and/or Android is a plus",PARTTIME,US,True,"['Skill Development', 'React.js', 'Internet of Things (IoT)', 'React Native', 'JavaScript', 'Operations', 'TypeScript', 'Computer Science', 'Mobile Application Development', 'Application Development']",True,True,None  None ,None None,"{'Qualifications': ['Experience in React Native development', 'Proficiency in TypeScript, HTML, and CSS', 'Familiarity with Git and Node.js', 'Experience in RESTful APIs and JSON', 'Knowledge of mobile app development best practices', 'Strong problem-solving and analytical skills', 'Ability to work in a team environment and follow development best practices', ""Currently pursuing or recently graduated with a Bootcamp, Bachelor's or Master's degree in computer science, software engineering, or a related field""], 'Responsibilities': ['As a developer, you will work on developing and maintaining our mobile application using React Native', 'You will work with our team to understand the product requirements, implement new features, and troubleshoot issues as they arise', 'In addition, you will be responsible for unit testing and code review to ensure the quality of the product']}"
Upwork,Experienced Mobile Developer to Create a Catering Service Application on Android and iOS,https://www.upwork.com/freelance-jobs/apply/Experienced-Mobile-Developer-Create-Catering-Service-Application-Android-and-iOS_~018c0197e053f98b08/,"Develop a mobile application for a catering service allowing customers to browse a varied menu of dishes and beverages, make their selection, and estimate the price for their event.

Application Features:

Menu browsing: Display dishes and beverages with detailed descriptions and images.

Selection of menu items: Allow users to choose the dishes and beverages they wish to include in their order.

Cart management: Addition, modification, and deletion of items in the cart.

Price estimation: Automatic calculation of the total price based on selected items.

Payment integration: Integrate a secure payment gateway to allow customers to pay directly from the application.

User account management: User registration, login, profile management, order history, etc.

Additional features: Ability to specify dietary preferences, special requests, etc.

Target Platforms:

The application should be compatible with Android devices (minimum version: Android 6.0) and iOS devices (minimum version: iOS 12).

Design and User Interface:

User-friendly and intuitive interface to facilitate navigation and item selection.

Use attractive visuals to showcase dishes and beverages.

Security and Privacy:

Compliance with data security and privacy standards, especially regarding the processing of customer payment information.

Languages:

The application should support at least two languages: French (primary language) and English.

Testing and Validation:

Conduct thorough testing to ensure the proper functioning of the application on different platforms and devices.

Gather user feedback to identify potential issues and make improvements.

Description of the Ideal Freelancer:

The ideal freelancer for this project should possess the following skills:

Experience in Mobile Development:

Proven experience in developing mobile applications for Android and iOS.

Proficiency in programming languages such as Java/Kotlin for Android and Swift/Objective-C for iOS.

Knowledge of Mobile Technologies:

Deep understanding of user interface design (UI/UX) principles to create an optimal user experience.

Experience in integrating secure payment gateways into mobile applications.

Project Management Skills:

Ability to work independently while adhering to set deadlines.

Excellent communication skills to ensure smooth collaboration with the development team and project stakeholders.

Attention to Detail and Quality:

Attention to detail to ensure the quality and reliability of the application.

Ability to perform rigorous testing to detect and address any potential issues.

Portfolio and References:

Portfolio showcasing successful previous projects in the field of mobile application development.

Verifiable references from previous clients recommending the freelancer's skills and professionalism.",CONTRACTOR,US,True,"['Android', 'Smartphone', 'iOS', 'Mobile App Development', 'User Authentication', 'iOS Development', 'Android App Development', 'UX & UI Design']",False,False,None  None ,None None,"{'Qualifications': ['The application should support at least two languages: French (primary language) and English', 'The ideal freelancer for this project should possess the following skills:', 'Proven experience in developing mobile applications for Android and iOS', 'Proficiency in programming languages such as Java/Kotlin for Android and Swift/Objective-C for iOS', 'Knowledge of Mobile Technologies:', 'Deep understanding of user interface design (UI/UX) principles to create an optimal user experience', 'Experience in integrating secure payment gateways into mobile applications', 'Ability to work independently while adhering to set deadlines', 'Excellent communication skills to ensure smooth collaboration with the development team and project stakeholders', 'Attention to detail to ensure the quality and reliability of the application', 'Ability to perform rigorous testing to detect and address any potential issues', 'Portfolio showcasing successful previous projects in the field of mobile application development', ""Verifiable references from previous clients recommending the freelancer's skills and professionalism""], 'Responsibilities': ['Develop a mobile application for a catering service allowing customers to browse a varied menu of dishes and beverages, make their selection, and estimate the price for their event', 'Menu browsing: Display dishes and beverages with detailed descriptions and images', 'Selection of menu items: Allow users to choose the dishes and beverages they wish to include in their order', 'Cart management: Addition, modification, and deletion of items in the cart', 'Price estimation: Automatic calculation of the total price based on selected items', 'Payment integration: Integrate a secure payment gateway to allow customers to pay directly from the application', 'User account management: User registration, login, profile management, order history, etc', 'User-friendly and intuitive interface to facilitate navigation and item selection', 'Use attractive visuals to showcase dishes and beverages', 'Conduct thorough testing to ensure the proper functioning of the application on different platforms and devices', 'Gather user feedback to identify potential issues and make improvements']}"
EX Squared,Mobile Developer (Remote),https://builtin.com/job/mobile-developer/2223004,"Become an Outcoder as a Mobile Developer

We are looking for a qualified Mobile Developer to join our Engineering team. You will work with our engineers to develop and maintain high-quality mobile applications. We want to meet you if you’re passionate about mobile platforms and translating code into user-friendly apps. As a Mobile Developer, you’ll collaborate with internal teams to develop functional mobile applications while working in a fast-paced environment. Ultimately, you should be able to design and build the next generation of our mobile applications.

What you’ll need to be successful:
• Proven work experience as a Mobile Developer
• Demonstrable portfolio of released applications on the App Store or the Android market
• In-depth knowledge of at least one programming language (React Native, Xamarin, Flutter, Swift)
• Experience with third-party libraries and APIs
• Familiarity with OOP design principles
• Excellent analytical skills with a good problem-solving attitude
• Ability to perform in a team environment
• BSc degree in Computer Science or relevant field

About us: EX² Outcoding is a premier solution provider of a broad range of outsourcing services, combining proven expertise in technology and project execution for companies searching for high-quality software development solutions. We specialize in delivering the best technical solution and enhancing that solution creatively by working closely with stakeholders to understand the business context.

#LI-REMOTE",FULLTIME,US,True,,False,True,None  None ,None None,"{'Qualifications': ['Proven work experience as a Mobile Developer', 'Demonstrable portfolio of released applications on the App Store or the Android market', 'In-depth knowledge of at least one programming language (React Native, Xamarin, Flutter, Swift)', 'Experience with third-party libraries and APIs', 'Familiarity with OOP design principles', 'Excellent analytical skills with a good problem-solving attitude', 'Ability to perform in a team environment', 'BSc degree in Computer Science or relevant field'], 'Responsibilities': ['You will work with our engineers to develop and maintain high-quality mobile applications', 'As a Mobile Developer, you’ll collaborate with internal teams to develop functional mobile applications while working in a fast-paced environment', 'Ultimately, you should be able to design and build the next generation of our mobile applications']}"
SMART,Mobile App Developer (Remote),https://wellfound.com/jobs/2885063-mobile-app-developer-remote,"Description

We are seeking a self-disciplined and experienced mobile app developer to join our team. This is a remote position, so you can work from anywhere.

Responsibilities
• Collaborate with the Software Engineering team to write clean, efficient, and maintainable code
• Participate in team meetings and provide constructive feedback to teammates

Requirements
• 3+ years of experience with mobile app development
• Proven work experience as a mobile app developer
• Proficient in Swift and/or Java
• Experience with Xcode and/or Android Studio
• Great understanding of mobile app design concepts
• Understanding of security best practices in mobile app development
• Familiar with JSON, Rest API and version control systems (Git)
• Ability to work independently and as part of a team
• Ability to manage time effectively to meet deadlines
• Authorized to work in the USA

Benefits
• Flexible schedule
• Competitive salary
• Stock options

SMART focuses on Healthcare, Analytics, Sports, Health Care Information Technology, and Artificial Intelligence. Their company has offices in Minneapolis. They have a small team that's between 1-10 employees.

You can view their website at https://www.smartdocapp.com",FULLTIME,US,True,,False,False,USD  120000 ,USD 180000,"{'Qualifications': ['3+ years of experience with mobile app development', 'Proven work experience as a mobile app developer', 'Proficient in Swift and/or Java', 'Experience with Xcode and/or Android Studio', 'Great understanding of mobile app design concepts', 'Understanding of security best practices in mobile app development', 'Familiar with JSON, Rest API and version control systems (Git)', 'Ability to work independently and as part of a team', 'Ability to manage time effectively to meet deadlines', 'Authorized to work in the USA'], 'Responsibilities': ['Collaborate with the Software Engineering team to write clean, efficient, and maintainable code', 'Participate in team meetings and provide constructive feedback to teammates'], 'Benefits': ['Flexible schedule', 'Competitive salary', 'Stock options']}"
